Sr. No.,Symbol,CompanyName,Name
1,RELIANCE,Reliance Industries Limited,RELIANCE | Reliance Industries Limited
2,TCS,Tata Consultancy Services Limited,TCS | Tata Consultancy Services Limited
3,HDFCBANK,HDFC Bank Limited,HDFCBANK | HDFC Bank Limited
4,ICICIBANK,ICICI Bank Limited,ICICIBANK | ICICI Bank Limited
5,BHARTIARTL,Bharti Airtel Limited,BHARTIARTL | Bharti Airtel Limited
6,SBIN,State Bank of India,SBIN | State Bank of India
7,INFY,Infosys Limited,INFY | Infosys Limited
8,LICI,Life Insurance Corporation Of India,LICI | Life Insurance Corporation Of India
9,ITC,ITC Limited,ITC | ITC Limited
10,HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR | Hindustan Unilever Limited
11,LT,Larsen & Toubro Limited,LT | Larsen & Toubro Limited
12,BAJFINANCE,Bajaj Finance Limited,BAJFINANCE | Bajaj Finance Limited
13,HCLTECH,HCL Technologies Limited,HCLTECH | HCL Technologies Limited
14,MARUTI,Maruti Suzuki India Limited,MARUTI | Maruti Suzuki India Limited
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,SUNPHARMA | Sun Pharmaceutical Industries Limited
16,ADANIENT,Adani Enterprises Limited,ADANIENT | Adani Enterprises Limited
17,KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK | Kotak Mahindra Bank Limited
18,TITAN,Titan Company Limited,TITAN | Titan Company Limited
19,ONGC,Oil & Natural Gas Corporation Limited,ONGC | Oil & Natural Gas Corporation Limited
20,TATAMOTORS,Tata Motors Limited,TATAMOTORS | Tata Motors Limited
21,NTPC,NTPC Limited,NTPC | NTPC Limited
22,AXISBANK,Axis Bank Limited,AXISBANK | Axis Bank Limited
23,DMART,Avenue Supermarts Limited,DMART | Avenue Supermarts Limited
24,ADANIGREEN,Adani Green Energy Limited,ADANIGREEN | Adani Green Energy Limited
